"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"2225","2964","2225","9362","68636","68744"
,"2241","2988","2241","9510","69560","69765"
,"2245","2992","2245","9647","69654","69770"
,"2253","3004","2253","9778","70580","70791"
,"2261","3012","2261","9913","70686","70796"
,"2277","3036","2277","10057","71597","71817"
,"2285","3044","2285","10192","71703","71822"
,"2301","3068","2301","10342","72628","72843"
,"2317","3084","2317","10486","72725","72848"
,"2349","3132","2349","10646","73643","73869"
,"2353","3136","2353","10782","73760","73874"
,"2361","3148","2361","10936","74666","74895"
,"2369","3156","2369","11076","74775","74900"
,"2385","3180","2385","11244","75685","75921"
,"2393","3188","2393","11385","75788","75926"
,"2409","3212","2409","11540","76702","76947"
,"2425","3228","2425","11689","76818","76952"
,"2457","3276","2457","11846","77716","77973"
,"2465","3284","2465","12001","77830","77978"
,"2481","3308","2481","12164","78748","78999"
,"2497","3324","2497","12305","78860","79004"
,"2529","3372","2529","12480","79763","80025"
,"2545","3388","2545","12622","79882","80030"
,"2577","3436","2577","12790","80786","81051"
,"2609","3468","2609","12939","80899","81056"
,"2673","3564","2673","13102","81805","82077"
,"2677","3568","2677","13262","81918","82082"
,"2685","3580","2685","13426","82822","83103"
,"2693","3588","2693","13584","82947","83108"
,"2709","3612","2709","13767","83843","84129"
,"2717","3620","2717","13922","83966","84134"
,"2733","3644","2733","14097","84867","85155"
,"2749","3660","2749","14262","84993","85160"
,"2781","3708","2781","14439","85893","86181"
,"2789","3716","2789","14612","86018","86186"
,"2805","3740","2805","14780","86915","87207"
,"2821","3756","2821","14942","87042","87212"
,"2853","3804","2853","15137","87935","88233"
,"2869","3820","2869","15305","88061","88238"
,"2901","3868","2901","15488","88973","89259"
,"2933","3900","2933","15658","89090","89264"
,"2997","3996","2997","15854","89990","90285"
,"3005","4004","3005","16029","90129","90290"
,"3021","4028","3021","16201","91014","91311"
,"3037","4044","3037","16374","91156","91316"
,"3069","4092","3069","16580","92044","92337"
,"3085","4108","3085","16745","92173","92342"
,"3117","4156","3117","16943","93059","93363"
,"3149","4188","3149","17113","93196","93368"
,"3213","4284","3213","17298","94075","94389"
,"3229","4300","3229","17479","94218","94394"
,"3261","4348","3261","17665","95109","95415"
,"3293","4380","3293","17852","95242","95420"
,"3357","4476","3357","18064","96119","96441"
,"3389","4508","3389","18234","96267","96446"
,"3453","4604","3453","18430","97154","97467"
,"3517","4668","3517","18617","97281","97472"
,"3645","4860","3645","18816","98177","98493"
,"3649","4864","3649","19017","98312","98498"
,"3657","4876","3657","19181","99187","99519"
,"3665","4884","3665","19365","99343","99524"
,"3681","4908","3681","19579","100210","100545"
,"3689","4916","3689","19767","100357","100550"
,"3705","4940","3705","19971","101229","101571"
,"3721","4956","3721","20167","101373","101576"
,"3753","5004","3753","20377","102248","102597"
